ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added,,
Branche23,bivalent_BA4/5_booster_D29,B.1.617.2 Spike,Table S7,Pseudovirus (lentivirus),NT50,10624,22,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_baseline,S:614G,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,9525,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_baseline,BA.1 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,1519,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_baseline,BA.4/5 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,1221,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_baseline,B.1.351 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,3918,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_baseline,B.1.617.2 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,4395,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D15,S:614G,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,30034,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D15,BA.1 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,8042,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D15,BA.4/5 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,4636,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D15,B.1.351 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,18278,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D15,B.1.617.2 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,16416,78,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D29,S:614G,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,34818,76,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D29,BA.1 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,6214,76,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D29,BA.4/5 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,3904,76,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D29,B.1.351 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,16045,76,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA1_booster_D29,B.1.617.2 Spike,"Calculated by Table S6,Table S4",Pseudovirus (lentivirus),NT50,15160,76,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_baseline,S:614G,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,11403,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_baseline,BA.1 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,1831,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_baseline,BA.4/5 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,1316,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_baseline,B.1.351 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,4735,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_baseline,B.1.617.2 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,5382,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D15,S:614G,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,37135,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D15,BA.1 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,9162,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D15,BA.4/5 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,8198,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D15,B.1.351 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,22922,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D15,B.1.617.2 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,20226,74,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D19,S:614G,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,40206,71,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D19,BA.1 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,7069,71,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D19,BA.4/5 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,6712,71,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D19,B.1.351 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,19708,71,1000000,40,NULL,2023-04-28,,
Branche23,infected_bivalent_BA4/5_booster_D19,B.1.617.2 Spike,"Calculated by Table S7,Table S5",Pseudovirus (lentivirus),NT50,18367,71,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_baseline,S:614G,Table S8,Pseudovirus (lentivirus),NT50,2275,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_baseline,BA.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,1089,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_baseline,BA.4/5 Spike,Table S8,Pseudovirus (lentivirus),NT50,654,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_baseline,BQ.1.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,154,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_baseline,XBB.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,39,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_D15,S:614G,Table S8,Pseudovirus (lentivirus),NT50,10529,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_D15,BA.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,6551,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_D15,BA.4/5 Spike,Table S8,Pseudovirus (lentivirus),NT50,3587,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_D15,BQ.1.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,794,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_w_wo_inf_D15,XBB.1 Spike,Table S8,Pseudovirus (lentivirus),NT50,294,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_baseline,S:614G,Table S9,Pseudovirus (lentivirus),NT50,1842,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_baseline,BA.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,1213,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_baseline,BA.4/5 Spike,Table S9,Pseudovirus (lentivirus),NT50,610,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_baseline,BQ.1.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,148,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_baseline,XBB.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,52,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_D15,S:614G,Table S9,Pseudovirus (lentivirus),NT50,8967,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_D15,BA.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,6921,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_D15,BA.4/5 Spike,Table S9,Pseudovirus (lentivirus),NT50,6140,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_D15,BQ.1.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,1077,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_w_wo_inf_D15,XBB.1 Spike,Table S9,Pseudovirus (lentivirus),NT50,398,25,1000000,40,NULL,2023-04-28,,
