variant_name,parent_variant_name,display_name,site_directed,gisaid_id,genbank_accn,expandable
S:145del+408I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:146Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:147T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:149H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:149Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:165Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:17Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:18F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:190S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:19A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:20N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:215G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:222V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:222V+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:234Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:239K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:242del+243del+244del,NULL,NULL,TRUE,NULL,NULL,TRUE
S:242del+243del+244del+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:246A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:246I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:253G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:253Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:26S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:282Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:261D+453F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:321L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:321L+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:324G+325D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:331Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:335F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:334K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:337H+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:337L+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:337R+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:337S+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:337T+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:339D+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:338L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:340A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:340K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:340G+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:341I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:341I+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:344S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:345A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:345A+517R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:345N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:345S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:346G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:346K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:346K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:346S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:348T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:352D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:354D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:354D+364Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:354K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:354K+95I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:354S+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:359N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:367F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:367F+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:373F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:378N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:378R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:384A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:384L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:392A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:406W,NULL,NULL,TRUE,NULL,NULL,TRUE
S:408I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:409E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:414E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y+683G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417N+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417T+484K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417T+484K+501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:417V+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:420N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:420R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:420T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:427N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:435S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:435S+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:436R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:439K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:439K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:439K+614G+1121L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:440A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:440D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:440K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:N440K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:441R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444A+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:444T+445S+446T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445A+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:445L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:446D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:446P+456V+484P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:446S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:446V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:446V+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:449N+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:450D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:450K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:450Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:452K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:452R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:453F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:453F+498H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:453F+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455F+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455W,NULL,NULL,TRUE,NULL,NULL,TRUE
S:455Y+456L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:456A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:456K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:456R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:456V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:458N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:458R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:458R+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:460T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:468F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:468T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:460K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:460S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:470N+471V+472P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:472V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:472V+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:475D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:475R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:475V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:475V+261D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:475V+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:476A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:476S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:477G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:477N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:477N+514F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:477N+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:477R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:478I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:479S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:479S+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:483A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:483F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:483I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:483K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484K+501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484K+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484K+683G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:484V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:485D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:485R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:485R+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:486Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:487R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:489H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490L+614G+779H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:490S+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:493E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:493K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:493L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:493R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:494D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:494L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:494P+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:494P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:494R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:499L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:49Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:501N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:501Y+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:501T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:503F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:508H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:514F+477N,NULL,NULL,TRUE,NULL,NULL,TRUE
S:517R+345A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:519P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:519P+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:519Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:520S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:522S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:522V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:537R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:570D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:583D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:5F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:5F+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:603Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+1229I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+1237I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+1263L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+831V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+845S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+879S,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+936Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+939F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:614G+943T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:615L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:616Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:61Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:655Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:657Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:681H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:682W,NULL,NULL,TRUE,NULL,NULL,TRUE
S:692V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+439K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+453F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+453F+486L+501T+1229I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+570D,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+614G+681H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+501Y+681H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:69del+70del+796H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:701V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:709Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:716I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:74K,NULL,NULL,TRUE,NULL,NULL,TRUE
S:74Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:796H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:80A,NULL,NULL,TRUE,NULL,NULL,TRUE
S:80A+215G+484K+501Y+701V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:831V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:839E,NULL,NULL,TRUE,NULL,NULL,TRUE
S:8V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:8W,NULL,NULL,TRUE,NULL,NULL,TRUE
S:936Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:936Y+614G,NULL,NULL,TRUE,NULL,NULL,TRUE
S:943R,NULL,NULL,TRUE,NULL,NULL,TRUE
S:943T,NULL,NULL,TRUE,NULL,NULL,TRUE
S:982A,NULL,NULL,TRUE,NULL,NULL,TRUE
SARS-CoV Spike,NULL,SARS-CoV,FALSE,NULL,NC_004718,FALSE
SPE-RII-30769S,NULL,SPE-RII-30769S,FALSE,596228,NULL,TRUE
WA-RML/d105,NULL,WA-RML/d105,FALSE,NULL,MT982406,TRUE
WA-RML/d49,NULL,WA-RML/d49,FALSE,NULL,MT982401,TRUE
WA-RML/d70,NULL,WA-RML/d70,FALSE,NULL,MT982404,TRUE
WA-RML/d85,NULL,WA-RML/d85,FALSE,NULL,MT982405,TRUE
WIV1 Spike,NULL,WIV1,FALSE,NULL,KF367457,FALSE
Wuhan,NULL,Wuhan,FALSE,NULL,NC_045512.2,TRUE
Unknown,NULL,Unknown,FALSE,NULL,NULL,TRUE
WA1,Wuhan,WA1,FALSE,NULL,NULL,TRUE
