ref_name,rx_name
Cameroni21,S2H71
Cameroni21,S2M11
Cameroni21,S2N12
Cameroni21,S2N22
Cameroni21,S2N28
Cameroni21,S2X128
Cameroni21,S2X16
Cameroni21,S2X192
Cameroni21,S2X30
Cameroni21,S2X324
Cameroni21,S2X58
Cameroni21,S2K146
Cameroni21,S2H13
Cameroni21,ADI-58125
Cameroni21,S2H90
Cameroni21,S2K63v2
Cameroni21,S2L37
Cameroni21,S2X259
Cameroni21,S2X35
Cameroni21,S2X219
Cameroni21,S304
Cameroni21,S2A4
Cameroni21,S2H97
Cameroni21,S2L50
Cameroni21,S2X28
Cameroni21,S2X303
Cameroni21,S2X333
Caniels21,COVA1-18
Caniels21,COVA2-15
Caniels21,COVA2-17
Caniels21,COVA1-16
Cao21,LY-CoV555
Cao21,LY-CoV016
Cao21,REGN10933
Cao21,REGN10987
Cao21,AZD8895
Cao21,AZD1061
Cao21,VIR-7831
Cao21,BRII-196
Cao21,DXP-604
Cathcart21,Vir-7831
Cathcart21,Vir-7832
Changrob21,S24-1301
Changrob21,S166-32
Changrob21,S305-1456
Changrob21,S144-1079
Changrob21,S144-1339
Changrob21,S144-1406
Changrob21,S144-1407
Changrob21,S20-58
Changrob21,S24-1224
Changrob21,S24-1476
Changrob21,S564-134
Changrob21,S564-138
Changrob21,S564-265
Changrob21,S564-68
Changrob21,S24-821
Changrob21,S20-74
Changrob21,S262-651
Changrob21,S626-747
Chen21,COV2-2196
Chen21,COV2-2130
Chen21,COV2-2196+COV2-2130
Chen21,COV2-2072
Chen21,COV2-2050
Chen21,COV2-3025
Chen21,COV2-2381
Chen21,1B07
Chen21,COVOX-384
Chen21,COVOX-40
Chen21,S2E12
Chen21,S2H58
Chen21,S2X259
Chen21,S309 + S2E12
Chen21,S309
Chen21,Vir-7831
Chen21,SARS2-3
Chen21,SARS2-10
Chen21,SARS2-31
Chen21,SARS2-44
Chen21,COV2-2676
Chen21,COV2-2489
Chen21d,COV2-2196
Chen21d,COV2-2531
Chen21d,C126
Cho21,C2159
Cho21,C2029
Cho21,C2139
Cho21,C2033
Cho21,C2209
Cho21,C2020
Cho21,C2221
Cho21,C2019
Cho21,C2110
Cho21,C2018
Cho21,C2022
Cho21,C2113
Cho21,C2149
Cho21,C2026
Cho21,C2150
Cho21,C2013
Cho21,C2185
Cho21,C2004
Cho21,C2140
Cho21,C2109
Cho21,C2039
Cho21,C2237
Cho21,C2049
Cho21,C2065
Cho21,C2319
Cho21,C2175
Cho21,C2219
Cho21,C2227
Cho21,C2047
Cho21,C2045
Cho21,C2188
Cho21,C2037
Cho21,C2228
Cho21,C2167
Cho21,C2318
Cho21,C2210
Cho21,C2317
Cho21,C2172
Cho21,C2070
Cho21,C2321
Choi20,REGN10933+REGN10987
Choudhary21,Bamlanivimab
Collier21,4A8
Collier21,S2L26
Collier21,S2L50
Collier21,S2M28
Collier21,S2X107
Collier21,S2X124
Collier21,S2X158
Collier21,S2X28
Collier21,S2X303
Collier21,S2X333
Collier21,S2D106
Collier21,S2D19
Collier21,S2D32
Collier21,S2D65
Collier21,S2D8
Collier21,S2D97
Collier21,S2E11
Collier21,S2E12
Collier21,S2E13
Collier21,S2E16
Collier21,S2E23
Collier21,S2H14
Collier21,S2H19
Collier21,S2H58
Collier21,S2H7
Collier21,S2H70
Collier21,S2H71
Collier21,S2M11
Collier21,S2N12
Collier21,S2N22
Collier21,S2N28
Collier21,S2X128
Collier21,S2X16
Collier21,S2X192
Collier21,S2X227
Collier21,S2X246
Collier21,S2X30
Collier21,S2X324
Collier21,S2X58
Collier21,S2H90
Collier21,S2H94
Collier21,S2H97
Collier21,S2K15
Collier21,S2K21
Collier21,S2K30
Collier21,S2K63v2
Collier21,S2L17
Collier21,S2L37
Collier21,S2L49
Collier21,S2X259
Collier21,S2X305
Collier21,S2X35
Collier21,S2X450
Collier21,S2X475
Collier21,S2X607
Collier21,S2X608
Collier21,S2X609
Collier21,S2X613
Collier21,S2X615
Collier21,S2X619
Collier21,S2X620
Copin21,REGN10933
Copin21,REGN10987
Copin21,REGEN-COV
Copin21,REGN10933_S3A
Copin21,REGN10987_S3A
Copin21,REGEN-COV_S3A
Copin21,COV2-2130
Copin21,CB6
Copin21,REGN10985
Copin21,COV2-2196
Copin21,COV555
Copin21,Vir-7831
Copin21,CB6+COV555
Copin21,COV2-2130+COV2-2196
Dejnirattisai21,AZD1061
Dejnirattisai21,AZD8895
Dejnirattisai21,AZD7442
Dejnirattisai21,REGN10987
Dejnirattisai21,REGN10933
Dejnirattisai21,ADG10
Dejnirattisai21,ADG20
Dejnirattisai21,ADG30
Dejnirattisai21,LY-CoV555
Dejnirattisai21,LY-CoV16
Dejnirattisai21,S309
Dejnirattisai21,222
Dejnirattisai21,150
Dejnirattisai21,158
Dejnirattisai21,175
Dejnirattisai21,222H+222L
Dejnirattisai21,150H+222L
Dejnirattisai21,158H+222L
Dejnirattisai21,269H+222L
Dejnirattisai21,175H+222L
Dejnirattisai21c,AZD1061
Dejnirattisai21c,AZD8895
Dejnirattisai21c,AZD7442
Dejnirattisai21c,REGN10987
Dejnirattisai21c,REGN10933
Dejnirattisai21c,ADG10
Dejnirattisai21c,ADG20
Dejnirattisai21c,ADG30
Dejnirattisai21c,LY-CoV-555
Dejnirattisai21c,LY-CoV16
Dejnirattisai21c,S309
Dong21,AZD7442
Dong21,AZD8895
Dong21,AZD1061
Du20,BD-368-2
Du20,BD-629
Du20,BD-368-2+BD-629
Du21,CB6
Du21,h11B11
Du21,CB6 + h11B11
FDA21,Bamlanivimab
FDA21,Etesevimab
FDA21,Bamlanivimab+Etesevimab
FDA21,Casirivimab+Imdevimab
FDA21,Casirivimab
FDA21,Imdevimab
FDA21,Sotrovimab
Fenwick21,P5C3-LS
Fenwick21,P5C3
Fenwick21,REGN10933
Fenwick21,REGN10987
Fenwick21,S309
Focosi21b,Bamlanivimab/Etesevimab
Francino-Urdaniz21,CC6.29
Francino-Urdaniz21,CC12.1
Francino-Urdaniz21,CC12.3
Gottlieb21,Bamlanivimab
Gottlieb21,Etesevimab
Graham21,P054_004
Graham21,P054_027
Graham21,P054_003
Graham21,P003_017
Graham21,P008_003
Graham21,P008_018
Graham21,P008_042
Graham21,P008_047
Graham21,P008_067
Graham21,P008_081
Graham21,P008_083
Graham21,P008_090
Graham21,P008_108
Graham21,P054_022
Graham21,P008_015
Graham21,P008_038
Graham21,P008_087
Graham21,P008_096
Graham21,P008_039
Graham21,P008_051
Graham21,P008_052
Graham21,P003_027
Graham21,P008_007
Graham21,P054_021
Graham21,P008_060
Greaney20,COV2-2082
Greaney20,COV2-2165
Greaney20,COV2-2479
Greaney20,COV2-2832
Greaney20,COV2-2050
Greaney20,COV2-2094
Greaney20,COV2-2499
Greaney20,rCR3022
Greaney21,CB6
Greaney21,COV2-2082
Greaney21,COV2-2165
Greaney21,COV2-2832
Greaney21b,C002
Greaney21b,C105
Greaney21b,C110
Greaney21b,C121
Greaney21b,C135
Greaney21b,C144
Greaney21b,COV-021
Greaney21b,COV-047
Greaney21b,COV-057
Greaney21b,COV-072
Greaney21b,COV-107
Gruell21,Bamlanivimab
Gruell21,Etesevimab
Gruell21,REGN10933
Gruell21,REGN10987
Gruell21,C102
Gruell21,P2B-2F6
Gruell21,Sotrovimab
Gruell21,Fab2-36
Gruell21,DZIF-10c
Guigon21,Bamlanivimab
Guigon21,Etesevimab
Haslwanter21,ADI-56443
Haslwanter21,ADI-56479
Hoffmann21,Bamlanivimab
Hoffmann21,Imdevimab
Hoffmann21,REGN10989
Hoffmann21,Casirivimab
Hoffmann21,REGN-COV2
Hoffmann21b,Casirivimab
Hoffmann21b,Imdevimab
Hoffmann21b,REGN10989
Hoffmann21c,Casirivimab
Hoffmann21c,Imdevimab
Hoffmann21c,Bamlanivimab
Hoffmann21c,Etesevimab
Hoffmann21c,REGN-COV
Hoffmann21c,Bamlanivimab + Etesevimab
Hoffmann22,Casirivimab
Hoffmann22,Imdevimab
Hoffmann22,Casirivimab/Imdevimab
Hoffmann22,Sotrovimab
Hoffmann22,Bamlanivimab
Hoffmann22,Etesevimab
Hoffmann22,Bamlanivimab/Etesevimab
Hu21,CQ012
Hu21,CQ016
Hu21,CQ024
Hu21,CQ026
Hu21,CQ028
Hu21,CQ038
Hu21,CQ045
Hu21,CQ046
Hu21c,CQ012
Hu21c,CQ016
Hu21c,CQ024
Hu21c,CQ026
Hu21c,CQ028
Hu21c,CQ038
Hu21c,CQ045
Hu21c,CQ046
Ikemura21,Imdevimab+Casirivimab
Ikemura21,Sotrovimab
Jensen21,Bamlanivimab
Jensen21,Imdevimab+Casirivimab
Kemp21,COVA1-18
Kemp21,COVA2-39
Kemp21,COVA1-16
Kemp21,COVA2-07
Kemp21,COVA2-04
Kemp21,COVA2-17
Kemp21,COVA2-02
Kemp21,COVA1-12
Kemp21,COVA1-21
Koenig21,VHH-E
Ku21,CoV2-06
Ku21,CoV2-14
Li20h,157
Li20h,247
Li20h,261-262
Li20h,AB35
Li20h,B38
Li20h,CA1
Li20h,CB6
Li20h,H00S022
Li20h,H014
Li20h,H4
Li20h,P2B-2F6
Li20h,P2C-1F11
Li20h,X593
Li21c,157
Li21c,2H10
Li21c,1F9
Li21c,261-262
Li21c,9G11
Li21c,P2B-2F6
Li21c,LKLH
Li21c,H00S022
Li21c,10F9
Li21c,10D12
Li21c,11D12
Li21c,247
Li21c,2F7
Li21c,P2C-1F11
Li21c,H014
Li21c,4E5
Li21c,7B8
Liu21,1B07
Liu21,2B04
Liu21,2H04
Liu21,SARS2-01
Liu21,SARS2-02
Liu21,SARS2-07
Liu21,SARS2-16
Liu21,SARS2-19
Liu21,SARS2-21
Liu21,SARS2-22
Liu21,SARS2-23
Liu21,SARS2-31
Liu21,SARS2-32
Liu21,SARS2-34
Liu21,SARS2-38
Liu21,SARS2-55
Liu21,SARS2-58
Liu21,SARS2-66
Liu21,SARS2-71
Liu21f,AZD1061
Liu21f,AZD8895
Liu21f,AZD7442
Liu21f,REGN10987
Liu21f,REGN10933
Liu21f,ADG10
Liu21f,ADG20
Liu21f,ADG30
Liu21f,LY-CoV555
Liu21f,LY-CoV16
Liu21f,S309
Liu21l,CB6
Liu21l,BRII-196
Liu21l,1-20
Liu21l,910-30
Liu21l,REGN10933
Liu21l,COV2-2196
Liu21l,LY-CoV555
Liu21l,2-15
Liu21l,REGN10987
Liu21l,COV2-2130
Liu21l,S309
Liu21l,2-7
Liu21l,BRII-198
Liu21l,ADG-2
Liu21l,DH1047
Liu21l,10-40
Liu21l,S2X259
Liu21l,4-18
Liu21l,5-7
Liu21l,REGN10987+REGN10933
Liu21l,COV2-2196+COV2-2130
Liu21l,LY-CoV555+CB6
Liu21l,BRII-196+BRII-198
Lohr21,Bamlanivimab
Luke21,SAB-185_1
Luke21,SAB-185_2
Luke21,SAB-185_3
Luke21,SAB-185_4
Luke21,SAB-185_5
Luke21,SAB-185_6
Luke21,SAB-185_7
Luke21,SAB-185_8
Makdasi21,MD65
Makdasi21,LY-CoV555
Makdasi21,MD62
Makdasi21,BLN14
Makdasi21,MD29
Makdasi21,BLN12
Makdasi21,BL6
Margolis21,BRII-196
Margolis21,BRII-198
Margolis21,BRII-196 + BRII-198
McCallum21,S2L28
McCallum21,S2M28
McCallum21,S2X28
McCallum21,S2X333
McCallum21,4A8
McCallum21b,S2D8
McCallum21b,S2D19
McCallum21b,S2D32
McCallum21b,S2D97
McCallum21b,S2E12
McCallum21b,S2H7
McCallum21b,S2H14
McCallum21b,S2H19
McCallum21b,S2H58
McCallum21b,S2H71
McCallum21b,S2M11
McCallum21b,S2N28
McCallum21b,S2X128
McCallum21b,S2X192
McCallum21b,S2X259
McCallum21b,S2X615
McCallum21b,S2H70
McCallum21b,S2N12
McCallum21b,S2N22
McCallum21b,S2X608
McCallum21b,S2X609
McCallum21b,S2X30
McCallum21b,S2X305
McCallum21b,S2D106
McCallum21b,S2X619
McCallum21b,S2X58
McCallum21b,S2H94
McCallum21b,S2H97
McCallum21b,Casirivimab
McCallum21b,Imdevimab
McCallum21b,Vir-7831
McCallum21b,Bamlanivimab
McCallum21b,Etesevimab
McCallum21b,Regdanvimab
McCallum21b,4A8
McCallum21b,S2L26
McCallum21b,S2L50
McCallum21b,S2M28
McCallum21b,S2X28
McCallum21b,S2X303
McCallum21b,S2X158
McCallum21b,S2X107
McCallum21b,S2X333
McCallum21b,S2X124
McCallum21c,S2X303
McCallum21c,S2X333
McCallum21c,S2X259
Meng21b,REGN10933
Meng21b,REGN10987
Meng21b,REGN10933+REGN10987
Miyakawa21b,Casirivimab
Miyakawa21b,Imdevimab
Mlcochova21,S2X107
Mlcochova21,S2X28
Mlcochova21,S2X333
Mlcochova21,S2H7
Mlcochova21,S2H14
Mlcochova21,S2D19
Mlcochova21,S2X192
Mlcochova21,S2H19
Mlcochova21,S2E12
Mlcochova21,S2X615
Mlcochova21,S2X128
Mlcochova21,S2D8
Mlcochova21,S2H58
Mlcochova21,S2N28
Mlcochova21,S2M11
Mlcochova21,S2D106
Mlcochova21,S2D32
Mlcochova21,S2N22
Mlcochova21,S2D97
Mlcochova21,S2H71
Mlcochova21,S2H70
Mlcochova21,S2X58
Mlcochova21,S2N12
Mlcochova21,S2X30
Mlcochova21,Etesevimab
Mlcochova21,Casirivimab
Mlcochova21,Regdanvimab
Mlcochova21,Imdevimab
Mlcochova21,Bamlanivimab
Mlcochova21,S309
Mlcochova21,S2X35
Mlcochova21,S2H94
Mlcochova21,S2X259
Mlcochova21,S2H97
Mlcochova21,S2X609
Mlcochova21,S2X608
Mlcochova21,S2X619
Mlcochova21,S2X305
Moriyama21,REGN10933
Moriyama21,C002
Moriyama21,REGN10987
Moriyama21,COVA1-16
Muecksch21,C144
Muecksch21,C051
Muecksch21,C052
Muecksch21,C548
Muecksch21,C549
Muecksch21,C098
Muecksch21,C099
Muecksch21,C132
Muecksch21,C512
Muecksch21,C032
Muecksch21,C080
Muecksch21,C143
Muecksch21,C164
Muecksch21,C055
Peiffer-Smadja21,Bamlanivimab
Planas21,mAb48
Planas21,mAb102
Planas21b,Bamlanivimab
Planas21b,Etesevimab
Planas21b,Casirivimab
Planas21b,Imdevimab
Planas21b,RBD-109
Planas21b,RBD-98
Planas21b,RBD-85
Planas21b,RBD-48
Planas21b,NTD-18
Planas21c,Bamlanivimab
Planas21c,Etesevimab
Planas21c,BAM+ETE
Planas21c,Casirivimab
Planas21c,Imdevimab
Planas21c,Ronapreve
Planas21c,Cilgavimab
Planas21c,Tixagevimab
Planas21c,Evusheld
Planas21c,Regdanvimab
Planas21c,Sotrovimab
Planas21c,Adintrevimab
Pommeret21,Bamlanivimab
Pommeret21,Etesevimab
Rees-Spear21,COVA1-12
Rees-Spear21,COVA1-16
Rees-Spear21,COVA1-18
Rees-Spear21,COVA1-21
Rees-Spear21,COVA2-02
Rees-Spear21,COVA2-04
Rees-Spear21,COVA2-07
Rees-Spear21,COVA2-17
Rees-Spear21,COVA2-29
Rothenberger21,REGN10933
Rothenberger21,REGN10987
Ryu21,CT-P59
Ryu21b,CT-P59
Sabin21,Bamlanivimab
Scheid21,BG10-19
Scheid21,BG1-22
Scheid21,BG4-25
Scheid21,BG7-15
Scheid21,BG10-19_7C
Scheid21,BG1-22_7D
Scheid21,BG4-25_7E
Scheid21,BG7-15_7F
Scheid21,BG7-20_7G
Scheid21,BG1-24_7H
Schmitz21,3A11
Schmitz21,2B06
Schmitz21,1B12
Schmitz21,1H09
Schmitz21,2C08
Shen21,B38
Shen21,COVA1-18
Shen21,COVA2-15
Shen21,DH1041
Shen21,DH1042
Shen21,DH1043
Shen21,DH1047
Shen21,H4
Shen21,P2B-2F6
Shen21,S309
Sheward21,WHO IS (20/136)
Sheward21,REGN10933
Sheward21,REGN10987
Sheward21,LY-CoV555
Sheward21,LY-CoV16
Sheward21,S309
Stamatatos21,CV30
Stamatatos21,CV3-1
Stamatatos21,CV2-75
Stamatatos21,CV1
Starr21,REGN10933
Starr21,REGN10987
Starr21,REGN10933 + REGN10987
Starr21,LY-CoV016
Starr21b,LY-CoV555+LY-CoV016
Starr21c,S2E12
Starr21c,S2H13
Starr21c,S2H14
Starr21c,S2H97
Starr21c,S2D106
Starr21c,S2X58
Starr21c,S2X259
Starr21c,S304
Starr21c,S309
Starr21c,Vir-7831
Starr21c,S2X35
Starr21c,S2X227
Starr21c,S2H58
Starr21c,S2X16
Starr21c,COV2-2050
Starr21c,COV2-2082
Starr21c,COV2-2094
Starr21c,COV2-2096
Starr21c,COV2-2130
Starr21c,COV2-2165
Starr21c,COV2-2196
Starr21c,COV2-2479
Starr21c,COV2-2499
Starr21c,COV2-2677
Starr21c,COV2-2832
Starr21c,CR3022
Starr21c,LY-CoV016
Starr21c,REGN10933
Starr21c,REGN10987
Starr21c,LY-CoV555
Supasa21,Cilgavimab
Supasa21,Tixagevimab
Supasa21,AZD1061
Supasa21,AZD8895
Supasa21,AZD7442
Supasa21,REGN10987
Supasa21,REGN10933
Supasa21,ADG10
Supasa21,ADG20
Supasa21,ADG30
Supasa21,LY-CoV555
Supasa21,LY-CoV16
Supasa21,S309
Supasa21,222
Supasa21,150
Supasa21,158
Supasa21,175
Supasa21,222H+222L
Supasa21,150H+222L
Supasa21,158H+222L
Supasa21,269H+222L
Supasa21,175H+222L
Syed21,Casirivimab
Syed21,Imdevimab
Tada21,REGN10933
Tada21,REGN10987
Tada21,REGN10933 + REGN10987
Tada21c,REGN10933
Tada21c,REGN10987
Tada21c,REGN-COV2
Tada21d,REGN10933
Tada21d,REGN10987
Tada21d,REGN-COV2
Tada21e,REGN10933
Tada21e,REGN10987
Tada21e,REGN-COV2
Tada21f,Casirivimab
Tada21f,Imdevimab
Tada21f,REGN-COV2
Tada21f,Bamlanivimab
Tada21f,Etesevimab
Tada21f,BAM+ETE
Tada21f,Sotrovimab
Tada21f,Casirivimab_Fig3B
Tada21f,Imdevimab_Fig3B
Tada21f,REGN-COV2_Fig3B
Tada21f,Bamlanivimab_Fig3B
Tada21f,Etesevimab_Fig3B
Tada21f,Sotrovimab_Fig3B
Takashita22,Etesevimab
Takashita22,Bamlanivimab
Takashita22,Imdevimab
Takashita22,Casirivimab
Takashita22,Tixagevimab
Takashita22,Cilgavimab
Takashita22,Sotrovimab
Takashita22,LY-CoV016 + LY-CoV555
Takashita22,REGN10987 + REGN10933
Takashita22,COV2-2196 + COV2-2130
Torres21,J08
Tortorici20,S2M11_S7A
Tortorici20,S2E12_S7B
Tortorici20,S2M11_S7C
Tortorici20,S2E12_S7D
Tortorici20,S2M11_S7E
Tortorici20,S2E12_S7F
Tortorici20,S2E12+S2M11
Tortorici20,S2M11+S309
Tortorici20,S2E12+S309
Touret22,Casirivimab
Touret22,Imdevimab
Touret22,Bamlanivimab
Touret22,Etesevimab
Touret22,Regdanvimab
Touret22,Sotrovimab
Touret22,Cilgavimab
Touret22,Tixagevimab
Touret22,Evusheld
Truffot21,Bamlanivimab
VanBlargan22,COV2-2196
VanBlargan22,COV2-2130
VanBlargan22,COV2-2196+COV2-2130
VanBlargan22,REGN10987
VanBlargan22,REGN10933
VanBlargan22,REGN10987+REGN10933
VanBlargan22,LY-CoV555
VanBlargan22,LY-CoV016
VanBlargan22,LY-CoV555+LY-CoV016
VanBlargan22,S309
VanBlargan22,CT-P59
VanBlargan22,SARS2-38
VanBlargan22,COV2-2196_2
VanBlargan22,COV2-2130_2
VanBlargan22,COV2-2196+COV2-2130_2
VanBlargan22,REGN10987_2
VanBlargan22,REGN10933_2
VanBlargan22,REGN10987+REGN10933_2
VanBlargan22,LY-CoV555_2
VanBlargan22,LY-CoV016_2
VanBlargan22,LY-CoV555+LY-CoV016_2
VanBlargan22,S309_2
VanBlargan22,CT-P59_2
VanBlargan22,SARS2-38_2
VanBlargan22,AZD8895
VanBlargan22,AZD1061
VanBlargan22,AZD7442
Vanhove21,BAM
Wang21,C601
Wang21,C602
Wang21,C603
Wang21,C613
Wang21,C614
Wang21,C627
Wang21,C628
Wang21,C643
Wang21,C653
Wang21,C660
Wang21,C663
Wang21,C666
Wang21,C669
Wang21,C670
Wang21,C671
Wang21,C675
Wang21,C682
Wang21,C664
Wang21,C678
Wang21,C683
Wang21,Casirivimab
Wang21,Imdevimab
Wang21,Casirivimab + Imdevimab
Wang21,Tixagevimab
Wang21,Cilgavimab
Wang21,Tixagevimab + Cilgavimab
Wang21,C135
Wang21,C144
Wang21,C144+C135
Wang21b,1-57
Wang21b,2-15
Wang21b,2-17
Wang21b,2-36
Wang21b,2-7
Wang21b,4-19
Wang21b,4-8
Wang21b,4A8
Wang21b,5-24
Wang21b,5-7
Wang21b,910-30
Wang21b,C121
Wang21b,C135
Wang21b,COVA1-16
Wang21b,LY-CoV555
Wang21b,REGN10933
Wang21b,REGN10987
Wang21b,S309
Wang21b,REGN10933/10987
Wang21b,LY-CoV555/CB6
Wang21b,BRII-196/198
Wang21b,COV2-2196/2130
Wang21b,1-20
Wang21b,CB6
Wang21b,4-20
Wang21b,2-4
Wang21b,2-43
Wang21b,2-30
Wang21b,COV2-2196
Wang21b,BRII-198
Wang21b,BRII-196
Wang21b,2-38
Wang21b,COV2-2130
Wang21b,REGN10985
Wang21d,REGN10987
Wang21d,REGN10933
Wang21d,LY-CoV555
Wang21d,CB6
Wang21d,2-36
Wang21d,2-15
Wang21d,C121
Wang21d,2-7
Wang21d,1-57
Wang21d,S309
Wang21d,COV2-2130
Wang21d,COV2-2196
Wang21d,5-24
Wang21d,4-8
Wang21d,4-18
Wang21d,2-17
Wang21d,4-19
Wang21d,5-7
Wang21e,A23-58.1
Wang21e,B1-182.1
Wang21e,A19-61.1
Wang21e,A19-46.1
Wang21e,LY-COV555
Wang21e,CB6
Wang21e,REGN10933
Wang21e,REGN10987
Wang21f,REGN10933
Wang21f,CB6
Wang21f,P2C-1F11
Wang21f,P5A-1D2
Wang21f,P5A-3C8
Wang21f,P22A-1D1
Wang21f,BD-368-2
Wang21f,P5A-1B9
Wang21f,REGN10987
Wang21f,S309
Wang21f,P2B-1G5
Wang21f,4A8
Wang22,REGN10987
Wang22,REGN10933
Wang22,LY-CoV555
Wang22,LY-CoV016
Wang22,COV2-2130
Wang22,COV2-2196
Wang22,S309
Wang22,CT-P59
Wang22,ADG-2
Wang22,2-15
Wang22,2-7
Wang22,1-20
Wang22,2-36
Wang22,5-24
Wang22,4-18
Wang22,4-19
Wang22,5-7
Weisblum20,C121
Weisblum20,C135
Weisblum20,C144
Westendorf21,ADG2
Westendorf21,ADG2_2
Westendorf21,Bamlanivimab
Westendorf21,C135
Westendorf21,C135_2
Westendorf21,C144
Westendorf21,C144_2
Westendorf21,CB6
Westendorf21,COV2-2130
Westendorf21,COV2-2130_2
Westendorf21,COV2-2196
Westendorf21,COV2-2196_2
Westendorf21,CT-P59
Westendorf21,CT-P59_2
Westendorf21,Etesevimab
Westendorf21,LY-CoV016_2
Westendorf21,LY-CoV1404
Westendorf21,LY-CoV1404_2
Westendorf21,LY-CoV1404_T2_2
Westendorf21,LY-CoV1404_T3A
Westendorf21,LY-CoV1404_T3B
Westendorf21,LY-CoV1404_T5
Westendorf21,LY-CoV1404_T6
Westendorf21,LY-CoV1404_T3D
Westendorf21,LY-CoV1404_T3D_2
Westendorf21,LY-COV555
Westendorf21,LY-CoV555_2
Westendorf21,REGN10933
Westendorf21,REGN10933_2
Westendorf21,REGN10987
Westendorf21,REGN10987_2
Westendorf21,S309
Westendorf21,S309_2
Wibmer21,4A8
Wibmer21,BD23
Wibmer21,C119
Wibmer21,CA1
Wibmer21,CC12.1
Wibmer21,LY-CoV016
Wibmer21,P2B-2F6
Wilhelm21b,Casirivimab/Imdevimab
Williamson21,Casirivimab/Imdevimab
Yao21,Etesevimab
Yao21,Casirivimab
Yao21,Imdevimab
Yao21,Bamlanivimab
Yi21,CB6
Yi21,B38
Yi21,26-40K
Yi21,24-11K
Yi21,25-C4
Yi21,25-C5
Yi21,25-C8
Yi21,24-2K
Yi21,26-45K
Yi21,25-B8
Yi21,25-F5
Yi21,28-8L
Yi21,CR3022
Yi21,24-1L
Yi21,26-34L
Yi21,25-G7
Yi21,24-12K
Yi21,28-15L
Yi21,25-C9
Yi21,S309
Yi21,28-26K
Yuan21,CC12.1
Yuan21,CC12.3
Yuan21,COVA2-04
Yuan21,COVA2-07
Yuan21,REGN10933
Yuan21,COVA2-39
Yuan21,C144
Yuan21,C121
Yuan21,CV05-163
Yuan21,CV07-250
Yuan21,CV07-270
Yuan21,REGN10987
Yuan21,COVA2-15
Yuan21,COVA1-16
Yuan21,C135
Yuan21,CV38-142
Yuan21,REGN10933+REGN10987
Yuan21,CC6.29
Zhang21c,1F9
Zhang21c,7B8
Zhang21c,10F9
Zhang21c,H00S022
Zhang21c,9G11
Zhang21c,A261-262
Zhang21c,X593
Zhang21c,4E5
Zhang21c,2H10
Zhang21c,10D12
Zhang21c,CB6
Zhang21c,A247
Zhang21c,76A
Zhang21f,mAb_73
Zhang21f,mAb_21
Zhang21f,mAb_53
Zhou21b,AZD1061
Zhou21b,AZD8895
Zhou21b,AZD7442
Zhou21b,REGN10987
Zhou21b,REGN10933
Zhou21b,ADG10
Zhou21b,ADG20
Zhou21b,ADG30
Zhou21b,LY-CoV555
Zhou21b,LY-CoV16
Zhou21b,S309
Zhou21b,222
Zhou21b,150
Zhou21b,158
Zhou21b,175
Zhou21b,222H+222L
Zhou21b,150H+222L
Zhou21b,158H+222L
